,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_105,0.08382,-0.01195,-0.01806,0.06454,0.32843,0.02677,0.07322,0.02692,-0.01133,0.02313,0.01588,0.00635,-0.00219,-0.02545,-0.05044,0.43806,-0.00000,-0.08116,-0.07691,-0.08452,-0.02178,0.00968,-0.04376,0.02541,-0.16867,0.06334,-0.06707,-0.10350,-0.02640,-0.00385,0.10220,0.14492,-0.07190,-0.09755,0.01760,-0.05883,-0.19664,0.00872,0.53310,-0.05123,-0.01042,0.01487,0.14803,0.04367,0.01328,0.15079,-0.15079,-0.15079,-0.21684,-0.13869,0.03477,-0.07214,0.00098,0.01584,-0.18612,0.02460,-0.01901,-0.03152,0.37229,-0.13669,0.15168,0.07349,-0.07615,-0.18944,-0.01643,-0.27964,-0.12203,-0.19364,0.07529,0.24356,-0.14287,0.09989,0.03902,-0.00794,-0.12048,-0.19591,-0.01391,-0.07371,0.08371,0.14482,0.13806,0.16702,-0.01684,-0.01140,-0.21011,-0.02539,0.14416,0.00404,-0.04040,0.02387,0.13555,-0.14475,-0.02866,-0.10273,-0.00641,0.09428,-0.10057,0.27990,0.03447,0.20117,-0.01615,1.00000,-0.08000,-0.03174,0.02500,-0.02915,-0.24009,-0.00491,-0.16826,0.05049,-0.00011,0.07845,-0.07851,-0.16199,0.07158,0.06302,-0.04830,-0.22652,0.13405,-0.00858,-0.03233,0.01949,0.02042,-0.18593,0.00030,0.16757,-0.02144,-0.09265,-0.22914,-0.08539,0.16253,-0.01651,-0.00847,0.69586,-0.02437,0.16064,-0.02374,0.07566,-0.06643,0.04100,-0.08776,0.07746,-0.07887,-0.05999,0.11766,-0.02269,0.04377,0.02309,0.05491,-0.02063,0.07544,0.12308,-0.01649,0.01781,0.08948,0.00287,-0.00103,-0.00004,0.05613,0.00030,0.00949,-0.06706,0.07123,-0.00330,-0.11359,0.00787,-0.00151,-0.01399,-0.25144,0.03192,0.00692,-0.10457,0.20022,0.01873,-0.15265,-0.00904,-0.00151,-0.02096,-0.14778,-0.03369,0.16698,0.00172,0.05681,-0.00404
alpha_106,-0.08582,-0.00263,0.51281,-0.05770,-0.08840,-0.11032,-0.11902,-0.46781,0.48010,0.23095,0.03256,-0.39933,-0.04089,0.49871,0.03624,-0.08289,-0.00000,0.25923,0.24073,0.28365,0.62864,0.05479,0.77661,-0.44647,0.41667,0.13120,0.04702,0.32624,-0.00189,-0.37210,-0.30744,-0.07359,0.01233,0.02901,-0.32707,0.03366,0.24939,-0.06144,-0.11815,0.03666,0.01648,-0.00116,-0.35196,-0.26471,-0.03030,-0.23327,0.23327,0.23327,0.34015,0.17132,-0.03517,0.96430,-0.04959,0.20526,0.23148,0.18704,0.05850,-0.02962,-0.05622,0.23712,-0.03347,-0.21024,0.22348,0.28340,0.66549,0.25900,0.29121,0.46216,-0.27981,-0.02262,0.02595,-0.16635,0.02074,-0.02194,0.18220,0.29636,0.01071,-0.00806,-0.27085,-0.00789,-0.07139,-0.05090,-0.05959,-0.03498,0.51903,0.54466,-0.02666,0.01170,-0.00345,0.13694,-0.05948,0.29225,0.23580,-0.00631,-0.25914,-0.01017,-0.00880,-0.02184,0.03513,-0.23097,-0.00592,-0.08000,1.00000,0.01783,-0.00555,0.13345,0.30492,-0.00195,0.24387,-0.05524,-0.10686,0.00469,0.90913,0.30973,0.01243,-0.10766,-0.05522,0.27474,-0.02332,0.03639,-0.00934,0.25579,-0.13371,0.21479,0.29395,-0.01543,-0.00064,0.29341,0.26631,0.07025,-0.31515,0.26595,-0.07570,-0.05515,0.02569,-0.01268,-0.01661,-0.07577,0.11119,0.01562,0.86458,-0.07124,0.36333,0.65545,-0.24519,-0.22370,-0.05901,0.00410,-0.04280,0.02199,-0.22908,-0.14432,0.44844,-0.50017,0.05371,-0.00134,-0.00167,0.02631,-0.00434,0.29395,-0.04870,0.65110,-0.09564,-0.02385,0.20191,0.00346,-0.07872,0.00404,0.08485,-0.74134,-0.01227,0.01520,-0.15586,-0.00686,0.03080,0.04183,-0.07872,-0.00582,0.22193,0.53472,-0.22497,0.00479,-0.03351,-0.01170
alpha_107,-0.03831,0.33901,0.06703,-0.11452,-0.00404,-0.21914,-0.03599,-0.10033,0.03492,0.00287,0.09378,-0.01965,-0.01132,0.07850,0.56013,-0.02982,0.00000,0.20906,0.21127,0.18495,0.00101,0.19618,0.01547,-0.17974,0.01455,0.22982,0.09183,0.20963,-0.04742,-0.09077,-0.20728,-0.15469,0.05181,-0.19161,-0.13398,-0.20733,0.06146,-0.16220,-0.05703,0.11496,0.11521,0.34247,-0.22804,-0.05888,-0.27746,-0.10540,0.10540,0.10540,0.05951,0.10308,0.00827,0.01593,-0.15497,0.13054,0.05314,0.00375,0.02480,-0.18810,-0.07483,0.24222,-0.07221,-0.30735,0.31074,0.09203,0.02072,0.04716,0.04475,0.11727,-0.02297,0.01374,0.07114,-0.02362,0.03426,-0.04881,0.28991,0.15800,0.17523,-0.00845,-0.00995,-0.09270,-0.02940,-0.13520,-0.13064,-0.11021,0.03640,0.02950,-0.10167,0.22789,-0.24472,-0.00061,-0.02584,0.01737,0.02111,0.00032,-0.11410,-0.10674,-0.00495,-0.02642,0.22853,0.01192,-0.06118,-0.03174,0.01783,1.00000,-0.32296,0.07560,0.05443,-0.08481,0.11409,-0.07029,0.01232,-0.00530,-0.01252,0.03652,0.01645,-0.04490,-0.16208,-0.05674,-0.05965,-0.01574,-0.03909,0.00792,0.04402,0.09138,-0.00731,-0.02117,0.32967,0.01240,0.00050,0.06159,0.02985,0.11731,-0.04263,-0.06509,-0.05495,-0.01041,-0.20053,0.00049,0.00312,0.10412,-0.02660,-0.12259,0.09011,-0.00753,0.05077,-0.00317,-0.03430,0.06408,0.06598,-0.03800,-0.08872,-0.02332,0.01560,-0.00662,0.28399,-0.19833,0.00353,-0.00008,-0.00441,-0.00731,-0.20857,-0.02360,-0.22318,-0.00144,-0.00890,0.00485,-0.01678,0.00542,0.05951,-0.03853,0.07553,0.09891,-0.20165,0.07643,0.01567,-0.03253,-0.01678,0.02660,-0.02259,0.01238,0.10234,0.11877,0.09571,-0.22789
alpha_108,-0.07344,-0.01270,0.01465,-0.08386,-0.03982,-0.11245,0.04247,-0.02361,-0.00192,0.00131,0.01266,-0.00081,0.09743,0.01910,-0.21321,-0.01231,-0.00000,0.01991,0.02724,0.00871,0.04895,0.10381,0.04162,0.06667,0.05571,-0.00539,-0.01854,-0.04951,-0.00443,0.01650,0.04332,-0.07538,0.00617,-0.01267,0.07904,-0.00813,-0.04871,-0.06397,0.00149,0.01498,0.11798,-0.20390,0.10368,-0.04126,0.16701,0.00974,-0.00974,-0.00974,-0.03128,-0.03979,0.24204,0.00226,-0.03770,0.03441,-0.03146,0.00048,-0.00548,-0.00788,0.10389,-0.12100,-0.00898,0.12807,-0.13442,-0.04865,0.00442,0.00828,-0.01110,-0.04286,-0.02738,0.01010,-0.02379,0.01812,-0.01635,0.09720,-0.07581,-0.07899,-0.16457,0.00341,-0.01985,0.08877,0.01403,0.05208,0.07550,-0.03036,-0.03209,0.02672,0.05944,-0.14469,0.03090,0.00031,0.01205,0.00256,0.06369,-0.00479,0.03871,0.06794,0.00177,0.03259,-0.28639,-0.02163,0.05417,0.02500,-0.00555,-0.32296,1.00000,-0.10395,-0.04797,0.12978,-0.04345,0.08882,0.04865,0.03673,0.00575,-0.03474,0.03296,0.06537,0.06806,-0.01099,0.02463,-0.01754,-0.08748,0.00053,-0.01159,-0.03033,0.00004,0.00071,-0.35893,0.00274,0.00087,-0.02164,0.01417,-0.13213,-0.05588,-0.00561,0.09547,0.01757,0.38196,-0.01292,-0.03033,-0.16708,-0.00930,0.01962,-0.05656,0.00234,0.02643,-0.00146,0.04864,-0.00875,-0.01126,-0.03096,0.19346,0.02119,0.00376,-0.00146,-0.13419,0.39448,-0.00681,-0.00415,0.02374,0.00004,0.23843,-0.01273,0.00489,0.04409,0.00821,-0.00864,0.17431,-0.00845,-0.02208,0.00499,0.26976,-0.09346,0.08063,-0.01029,-0.02494,0.01542,0.17431,0.16681,-0.01702,0.00925,-0.15057,-0.20596,-0.08680,0.14469
alpha_109,-0.17969,0.01040,0.15542,0.12492,-0.11731,-0.26291,-0.10095,-0.15205,0.04980,0.00317,0.16044,-0.03331,-0.06615,0.15633,0.02319,-0.11942,0.00000,0.38360,0.37261,0.40746,0.16109,0.23888,0.17270,-0.25320,0.40537,0.36352,0.23952,0.45068,-0.03448,-0.14986,-0.42942,-0.26049,0.05897,-0.15817,-0.14369,-0.05763,0.28777,-0.42594,-0.31620,0.24130,0.19571,0.20698,-0.41334,-0.34370,-0.43538,-0.40137,0.40137,0.40137,0.33960,0.31408,-0.17292,0.12690,-0.14208,0.40586,0.23723,-0.00710,0.12782,-0.30758,-0.02460,0.41758,-0.17381,-0.32593,0.34917,0.29383,0.05005,0.23005,0.26335,0.42862,-0.27160,-0.03959,0.07756,-0.10485,-0.00228,-0.17003,0.40785,0.39872,0.54321,0.04088,-0.22064,-0.05124,-0.18753,0.14354,-0.24350,-0.21810,0.32417,0.17166,-0.11292,0.08085,-0.19569,-0.04128,-0.13765,0.07692,0.37443,0.14298,-0.15474,-0.05726,0.04872,-0.03808,0.56441,-0.08827,0.01105,-0.02915,0.13345,0.07560,-0.10395,1.00000,0.35883,-0.03290,0.41451,-0.06804,-0.00842,0.06203,0.12248,0.30827,0.02990,-0.19395,-0.29464,0.20583,-0.03607,0.01657,-0.14959,0.00881,-0.26177,0.36346,-0.03139,-0.01392,-0.02739,0.01752,0.29079,0.24822,-0.04544,0.09776,-0.19717,-0.03675,-0.15523,-0.06800,-0.19966,-0.02842,0.49909,0.16686,0.06784,-0.18623,0.25239,0.02972,-0.04674,0.00061,-0.05895,0.39341,-0.32633,-0.06794,-0.56872,-0.23041,0.01088,-0.02977,0.29121,-0.03174,-0.00073,-0.08436,0.02587,-0.03139,-0.72012,0.04304,-0.09693,-0.03483,0.23465,-0.00126,-0.17473,0.00108,0.12454,-0.11806,-0.04207,0.11081,-0.44656,0.00113,0.02053,-0.09554,-0.17473,-0.02589,0.15066,0.01852,0.23005,0.33091,0.26621,-0.08085
alpha_110,-0.25884,-0.01065,0.16410,-0.13667,-0.26999,-0.28019,-0.13045,-0.17512,0.06069,0.02203,0.08385,-0.04946,-0.04041,0.18268,0.13664,-0.26714,0.00000,0.44374,0.43577,0.47681,0.21093,0.16197,0.25677,-0.24163,0.63973,0.32008,0.25356,0.55795,-0.01423,-0.20386,-0.54646,-0.22471,0.03215,0.05101,-0.12150,0.04318,0.62897,-0.17211,-0.38999,0.25314,0.05522,0.07901,-0.61148,-0.57364,-0.16989,-0.61027,0.61027,0.61027,0.79574,0.44562,-0.09855,0.27095,-0.10534,0.48167,0.56422,0.03123,0.14187,-0.09792,-0.17823,0.60091,-0.09950,-0.39480,0.40650,0.64188,0.07304,0.68241,0.30210,0.72394,-0.58938,-0.07227,0.10280,-0.23193,-0.01831,-0.06910,0.49189,0.72527,0.14686,0.08100,-0.56076,-0.00398,-0.42250,-0.11418,-0.11410,-0.08819,0.73997,0.21370,-0.08309,0.06629,-0.05759,-0.03872,-0.34794,0.26298,0.54246,0.13565,-0.13935,-0.00538,0.11117,-0.06791,0.16588,-0.54864,-0.01505,-0.24009,0.30492,0.05443,-0.04797,0.35883,1.00000,-0.01818,0.63127,-0.15078,-0.01897,0.05110,0.27783,0.76707,0.01810,-0.27771,-0.13034,0.60297,-0.02490,0.01474,-0.02602,0.05522,-0.37773,0.62871,-0.00432,-0.01833,-0.01812,0.17432,0.65854,0.31507,-0.34182,0.10689,-0.19765,-0.20042,0.02952,-0.05315,-0.06686,-0.17117,0.36851,0.10348,0.24664,-0.15473,0.29326,0.16327,-0.35467,-0.04344,-0.14910,0.11032,-0.09884,0.04931,-0.31444,-0.29324,0.07368,-0.09410,0.19215,-0.02659,0.02166,0.03366,-0.10711,-0.00432,-0.25429,0.18931,-0.26143,-0.02342,0.47330,0.00230,-0.10826,0.01942,0.23658,-0.21020,-0.02849,0.03794,-0.44067,-0.03041,0.10364,0.06721,-0.10826,-0.01845,0.47813,0.11512,-0.34014,0.07771,-0.01893,-0.06629
alpha_111,0.01766,0.22154,-0.02124,0.08519,-0.01017,0.00589,0.08334,0.01420,-0.00216,-0.00190,-0.34766,-0.00000,0.04464,-0.02336,-0.01913,0.02633,-0.00000,-0.14342,-0.14371,-0.11342,0.01216,-0.10599,0.00653,0.05872,0.06899,-0.13845,-0.13465,-0.13167,0.03143,-0.01807,0.12856,-0.02095,-0.03062,0.15164,0.03000,0.14911,-0.02660,0.01925,0.01351,-0.16922,-0.02674,-0.21288,0.16267,-0.03664,0.22684,-0.03854,0.03854,0.03854,0.01747,-0.02554,0.20518,0.00189,-0.01237,-0.02640,-0.01171,-0.00169,-0.03282,0.04917,0.06351,-0.17530,0.02896,0.25783,-0.25997,-0.06782,-0.00120,0.04954,0.02923,-0.05029,-0.05434,-0.03823,-0.02586,0.01168,0.00065,0.05181,-0.09088,-0.10953,-0.05954,0.04948,-0.05619,0.07037,0.00799,0.18312,0.07127,0.07224,-0.00056,0.00012,0.05604,-0.23518,0.15136,-0.00194,0.00095,0.03339,0.07584,0.04914,0.04508,0.08515,0.04916,0.02841,-0.10633,-0.05273,0.06491,-0.00491,-0.00195,-0.08481,0.12978,-0.03290,-0.01818,1.00000,-0.02848,0.04862,0.05897,0.01750,0.01171,-0.01652,-0.00545,0.14118,0.04216,0.09786,0.04507,-0.02200,0.00159,-0.00653,-0.04073,0.00919,0.00344,0.01271,-0.21182,0.02167,0.05890,-0.02321,-0.04603,-0.05840,-0.01657,0.02341,0.10212,0.01726,0.27113,-0.01040,0.03439,-0.14806,0.01238,-0.00890,-0.00460,0.00607,-0.01987,0.00038,0.01754,0.02929,-0.05500,0.01179,0.02975,-0.01424,-0.00716,-0.00193,-0.21797,0.30223,0.00671,0.01040,0.03521,0.00344,0.06190,0.00707,0.23534,0.09357,0.05437,-0.00675,0.26480,-0.00788,-0.05284,-0.00083,0.19429,-0.05111,0.13188,-0.01581,-0.00201,0.02675,0.26480,0.45310,0.04097,0.00373,-0.09386,-0.08273,-0.02900,0.23518
alpha_112,-0.40110,0.00028,0.22327,-0.22888,-0.32033,-0.44977,-0.10413,-0.20644,0.07041,0.00536,0.25642,-0.03528,-0.06052,0.21502,0.12567,-0.26191,0.00000,0.54063,0.55610,0.58520,0.25947,0.27527,0.29217,-0.28372,0.75207,0.62760,0.21849,0.70517,-0.05159,-0.22115,-0.72240,-0.42530,0.07653,-0.07910,-0.11522,-0.00309,0.54199,-0.40353,-0.39017,0.34028,0.26371,0.24923,-0.72692,-0.82655,-0.29100,-0.93620,0.93620,0.93620,0.62080,0.71791,-0.10754,0.22913,-0.26423,0.82726,0.55336,-0.00924,0.29889,-0.34701,-0.20768,0.84722,-0.21250,-0.50543,0.50504,0.61506,0.08144,0.60393,0.20251,0.75493,-0.73897,-0.16259,0.17923,-0.30034,-0.04074,-0.14145,0.70857,0.84626,0.13939,0.05229,-0.65300,-0.11686,-0.37286,-0.08395,-0.40460,-0.28091,0.59796,0.28434,-0.21402,0.16104,-0.11278,-0.06549,-0.30912,0.11098,0.86236,0.10354,-0.18546,-0.12513,0.04583,-0.08504,0.19393,-0.54376,-0.04146,-0.16826,0.24387,0.11409,-0.04345,0.41451,0.63127,-0.02848,1.00000,-0.13304,-0.04894,-0.01346,0.25086,0.57404,-0.02693,-0.45336,-0.32792,0.46509,-0.05184,0.02997,-0.21653,0.01514,-0.47771,0.79632,-0.08600,-0.09455,0.05506,0.07047,0.66782,0.27905,-0.17013,0.12533,-0.38680,-0.08155,0.00031,-0.08065,-0.18881,-0.07647,0.37411,0.08551,0.17107,-0.31267,0.19487,0.08991,-0.11031,-0.00194,-0.15705,0.15251,-0.17712,0.00115,-0.25039,-0.20661,0.03332,-0.04819,0.51139,-0.09124,0.00726,0.00378,-0.33045,-0.08600,-0.26854,0.10114,-0.47588,-0.04647,0.36261,0.00350,-0.19737,0.02737,0.30697,-0.14902,-0.03407,0.12789,-0.54244,-0.01143,0.04831,-0.00624,-0.19737,-0.06354,0.28024,0.06208,-0.23531,0.06318,0.06464,-0.16104
alpha_113,0.18264,-0.04034,-0.04773,0.06801,0.09602,0.11747,0.04327,0.06276,-0.02392,0.00891,-0.04289,0.00196,0.04001,-0.06053,-0.05619,0.09409,-0.00000,-0.15220,-0.15791,-0.13839,-0.02681,-0.09493,-0.04153,0.08885,-0.09941,-0.13046,-0.05700,-0.15992,0.08408,0.05976,0.16321,0.05197,-0.07112,0.07023,0.05289,0.05493,-0.13302,0.06248,0.10666,-0.05841,-0.03744,-0.07019,0.18275,0.12097,0.02740,0.12521,-0.12521,-0.12521,-0.17171,-0.06074,0.06134,-0.05080,0.04556,-0.11957,-0.08120,0.00392,-0.03915,0.04852,0.15215,-0.18434,0.07113,0.18043,-0.17977,-0.15019,-0.01932,-0.12887,-0.05993,-0.15595,0.11916,-0.00196,-0.08113,0.05236,0.02177,-0.00620,-0.17752,-0.18457,-0.05552,-0.01901,0.11279,0.08616,0.06887,0.12994,0.05402,0.04544,-0.13408,-0.03415,0.11034,-0.08511,0.06789,0.01256,0.07986,-0.05056,-0.08980,-0.02961,0.07010,0.15461,-0.03081,0.00940,-0.06842,0.10464,0.06749,0.05049,-0.05524,-0.07029,0.08882,-0.06804,-0.15078,0.04862,-0.13304,1.00000,0.03087,0.01214,-0.03653,-0.14231,-0.01993,0.08745,0.04647,-0.10425,0.03063,-0.00768,0.00251,-0.00081,0.04257,-0.12613,0.00713,0.01817,-0.08778,-0.03623,-0.12012,-0.05091,0.07795,-0.08466,0.02339,0.06212,0.01601,-0.00529,0.21916,0.03004,-0.03322,-0.05074,-0.02978,0.01238,-0.06247,-0.03181,0.09736,-0.00333,0.03501,-0.01211,-0.07443,0.02949,0.09166,0.06414,-0.00354,0.01058,-0.12130,0.06801,-0.00093,-0.01442,0.02643,0.00713,0.07366,-0.03297,0.16868,0.01639,-0.04463,0.00220,0.07805,-0.00495,-0.17372,0.03203,0.01720,-0.09396,0.16646,0.01180,-0.04655,0.01958,0.07805,0.00533,-0.06095,-0.01427,0.03974,-0.00903,-0.01337,0.08511
alpha_114,0.01405,0.19016,-0.21254,0.03552,0.00411,-0.00357,0.10782,0.11063,-0.16162,0.03431,-0.02580,0.09383,0.11413,-0.22866,0.00778,0.00095,0.00000,-0.09760,-0.09347,-0.08708,-0.02831,-0.04615,-0.07088,0.27003,-0.02209,-0.07404,-0.01584,-0.10628,0.00952,-0.00110,0.10093,-0.01587,-0.01237,0.06006,0.17820,0.03465,-0.03502,-0.00097,0.00636,-0.01565,0.00119,-0.10025,0.12163,0.03299,0.07447,0.00865,-0.00865,-0.00865,-0.02106,-0.03591,0.19258,-0.08785,-0.01528,-0.04544,-0.03361,0.07093,-0.01610,0.01755,0.02512,-0.09959,0.00517,0.14208,-0.14584,-0.05599,-0.11296,-0.00079,-0.00356,-0.08232,0.02689,-0.00750,-0.01370,0.04712,0.00489,0.00604,-0.04759,-0.07658,-0.00508,-0.01747,0.02292,0.02588,0.01232,0.10304,0.07535,0.02902,-0.05901,-0.07325,0.02340,-0.10006,0.02609,0.02169,0.01153,0.00076,-0.01258,-0.01204,0.13291,0.03589,-0.01316,-0.00014,-0.01474,0.00538,0.02420,-0.00011,-0.10686,0.01232,0.04865,-0.00842,-0.01897,0.05897,-0.04894,0.03087,1.00000,0.01095,-0.02729,-0.03302,-0.00178,0.10079,0.00254,-0.01109,0.00789,-0.28998,0.00013,0.06125,0.00352,-0.02159,0.04520,0.00738,-0.06508,0.00310,-0.00300,-0.01364,0.01299,-0.44991,-0.00916,0.00078,0.02508,0.00468,0.14755,-0.01007,0.00828,-0.07502,-0.00114,-0.01073,-0.01884,-0.03868,0.00931,-0.07416,-0.00241,0.00331,-0.00800,-0.00392,0.03078,0.00109,-0.01830,0.00187,-0.10043,0.16961,-0.00068,-0.00340,0.01722,0.04520,0.01050,0.01155,0.11362,0.12604,0.00406,0.00050,0.13452,0.00097,-0.03522,0.06263,0.12474,-0.02623,0.07463,-0.01074,0.00276,-0.00050,0.13452,0.25117,-0.00474,0.00951,-0.01002,-0.03264,0.01207,0.10006
alpha_115,0.07092,0.01714,-0.01443,0.03964,0.15706,0.02464,0.01672,-0.00105,-0.00621,-0.00693,0.03315,-0.00373,0.00262,-0.00390,-0.01118,0.08591,0.00000,0.03064,0.02649,0.02276,-0.01592,0.02692,-0.00895,-0.10876,0.01803,-0.05520,0.03296,0.01636,0.04081,-0.12436,-0.00815,-0.06067,-0.19286,-0.00136,-0.00589,0.01175,0.04460,0.04078,-0.07182,0.03238,0.08118,0.06871,-0.01160,0.00791,-0.01990,0.00325,-0.00325,-0.00325,0.06386,-0.02597,-0.03632,0.00771,0.03191,-0.04412,0.00538,-0.00721,0.01404,-0.05740,0.20584,-0.02056,0.16633,-0.01339,0.01583,0.03336,-0.00527,0.02486,-0.00381,0.02673,-0.00606,0.19487,-0.15728,-0.01409,-0.02312,0.13437,-0.01803,0.02113,0.04419,0.00413,-0.01185,0.25506,-0.01409,0.07519,0.02933,0.02410,0.02225,-0.01152,0.21678,0.10850,0.00886,-0.01180,-0.01961,0.00722,-0.02675,0.00160,0.00399,0.23258,0.00472,0.12492,0.03603,0.01424,0.11407,0.07845,0.00469,-0.00530,0.03673,0.06203,0.05110,0.01750,-0.01346,0.01214,0.01095,1.00000,0.00414,0.03610,0.36543,0.04857,0.07223,0.02728,0.07232,-0.01710,0.01867,-0.00729,-0.06354,0.01822,-0.00939,0.22305,-0.13966,-0.00596,0.02679,0.03119,-0.01380,-0.00704,-0.00100,-0.05616,0.04179,0.02864,0.04415,-0.02221,-0.02612,0.00722,0.01229,0.09269,0.01473,0.00784,-0.03156,0.00701,0.02956,0.04371,0.04507,0.02521,-0.03011,0.01201,-0.01606,0.01233,-0.06662,0.02575,-0.00204,-0.03958,0.01785,-0.00939,-0.05538,0.02379,0.01571,0.00982,0.02875,-0.00295,0.01931,-0.00015,-0.17428,0.00403,0.08051,0.00373,-0.07303,-0.02428,0.00840,-0.06099,0.01931,0.04137,-0.00490,-0.00832,-0.00341,0.01991,0.03143,-0.10850
alpha_116,-0.07163,0.00673,0.36949,-0.02703,-0.08117,-0.07335,-0.07497,-0.29637,0.36062,0.21609,0.02186,-0.32703,0.04515,0.32650,-0.00284,-0.07573,-0.00000,0.17240,0.15574,0.21012,0.63439,-0.03327,0.76682,-0.20127,0.44438,0.08444,0.03448,0.26451,0.01363,-0.29865,-0.24827,-0.07389,-0.00919,0.10229,-0.15478,0.10282,0.22256,-0.04343,-0.11104,0.02452,-0.01415,-0.02790,-0.28647,-0.26142,0.01266,-0.24999,0.24999,0.24999,0.31022,0.17308,-0.00085,0.88404,-0.04137,0.19259,0.20929,0.17483,0.05216,-0.02524,-0.04558,0.19462,-0.02863,-0.10556,0.11760,0.25481,0.60266,0.23645,0.26512,0.43155,-0.27560,-0.03485,0.02337,-0.15054,0.01749,-0.01812,0.13914,0.26396,-0.01193,-0.00693,-0.26458,0.00547,-0.06499,0.00559,-0.06034,-0.00304,0.47497,0.57541,-0.01730,-0.03092,0.04536,0.12495,-0.05380,0.27485,0.25522,-0.00484,-0.09387,0.00862,-0.00827,-0.01994,0.01206,-0.23291,0.01051,-0.07851,0.90913,-0.01252,0.00575,0.12248,0.27783,0.01171,0.25086,-0.03653,-0.02729,0.00414,1.00000,0.28232,0.00673,-0.09820,-0.04539,0.27564,-0.02145,-0.00544,-0.01371,0.24139,-0.17189,0.23188,0.25760,-0.01117,-0.04480,0.26734,0.27158,0.06877,-0.28606,0.09239,-0.08715,-0.04211,0.03994,-0.00281,0.02364,-0.06995,0.12800,-0.00716,0.92847,-0.08615,0.32941,0.59108,-0.19576,-0.21328,-0.05417,0.00222,-0.05631,0.03893,-0.20434,-0.13532,0.40445,-0.48228,0.00573,0.04239,-0.00155,0.01666,-0.00395,0.25760,-0.03350,0.63744,-0.04785,-0.00958,0.22514,0.00356,-0.04341,0.00378,0.07523,-0.69207,-0.00070,0.00041,-0.11903,-0.00648,0.02727,0.05264,-0.04341,0.02543,0.22743,0.49363,-0.23361,-0.00336,-0.04190,0.03092
